part_number,name_he,name_en,manufacturer,category,side,part_type,notes,is_active,cross_refs,fitments
N2Y32648ZB,רפידות בלם קדמיות — מאזדה MX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:N2Y32648ZB:Mazda,מאזדה:MX-5:2015:2026
NFY72643Z,רפידות בלם קדמיות — מאזדה MX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:NFY72643Z:Mazda,מאזדה:MX-5:2015:2026
NFY72648ZB,רפידות בלם קדמיות — מאזדה MX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:NFY72648ZB:Mazda,מאזדה:MX-5:2015:2026
NFY72649Z,רפידות בלם קדמיות — מאזדה MX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:NFY72649Z:Mazda,מאזדה:MX-5:2015:2026
1500A617,מסנן אוויר — מיצובישי SPACE STAR,מסנן אוויר,Mitsubishi,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:1500A617:Mitsubishi,מיצובישי:SPACE STAR:2013:2026:1.2 3A92
97133C4100,מסנן מזגן — מיצובישי SPACE STAR,מסנן מזגן,Mitsubishi,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:97133C4100:Mitsubishi,מיצובישי:SPACE STAR:2013:2026:1.2 3A92
MZ690115,מסנן שמן — מיצובישי SPACE STAR,מסנן שמן,Mitsubishi,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:MZ690115:Mitsubishi,מיצובישי:SPACE STAR:2013:2026:1.2 3A92
MZ690116,מסנן שמן — מיצובישי SPACE STAR,מסנן שמן,Mitsubishi,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:MZ690116:Mitsubishi,מיצובישי:SPACE STAR:2013:2026:1.2 3A92
16546-30P00,מסנן אוויר — ניסאן MICRA,מסנן אוויר,Nissan,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:16546-30P00:Nissan,ניסאן:MICRA:2010:2017:1.2 HR12DE
16546-73C10,מסנן אוויר — ניסאן MICRA,מסנן אוויר,Nissan,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:16546-73C10:Nissan,ניסאן:MICRA:2010:2017:1.2 HR12DE
