part_number,name_he,name_en,manufacturer,category,side,part_type,notes,is_active,cross_refs,fitments
1780121060,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:1780121060:Toyota,טויוטה:C-HR:2016:2026
17801AZC01,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:17801AZC01:Toyota,טויוטה:C-HR:2016:2026
B000958980,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Citroen,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:B000958980:Citroen,טויוטה:C-HR:2016:2026
T1780-10M04,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Suzuki,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:T1780-10M04:Suzuki,טויוטה:C-HR:2016:2026
4243106180,דיסק בלם קדמי — טויוטה C-HR,דיסק בלם קדמי,Toyota,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:4243106180:Toyota,טויוטה:C-HR:2016:2026
4343106180,דיסק בלם קדמי — טויוטה C-HR,דיסק בלם קדמי,Toyota,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:4343106180:Toyota,טויוטה:C-HR:2016:2026
43512-F4010,דיסק בלם קדמי — טויוטה C-HR,דיסק בלם קדמי,Toyota,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:43512-F4010:Toyota,טויוטה:C-HR:2016:2026
0446602370,רפידות בלם קדמיות — טויוטה C-HR,רפידות בלם קדמיות,Toyota,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:0446602370:Toyota,טויוטה:C-HR:2016:2026
0446602380,רפידות בלם קדמיות — טויוטה C-HR,רפידות בלם קדמיות,Toyota,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:0446602380:Toyota,טויוטה:C-HR:2016:2026
044660E070,רפידות בלם קדמיות — טויוטה C-HR,רפידות בלם קדמיות,Toyota,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:044660E070:Toyota,טויוטה:C-HR:2016:2026
0446610010,רפידות בלם קדמיות — טויוטה C-HR,רפידות בלם קדמיות,Toyota,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:0446610010:Toyota,טויוטה:C-HR:2016:2026
0446633220,רפידות בלם קדמיות — טויוטה C-HR,רפידות בלם קדמיות,Toyota,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:0446633220:Toyota,טויוטה:C-HR:2016:2026
0446642080,רפידות בלם קדמיות — טויוטה C-HR,רפידות בלם קדמיות,Toyota,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:0446642080:Toyota,טויוטה:C-HR:2016:2026
87139-YZZ33,מסנן מזגן — טויוטה C-HR,מסנן מזגן,Toyota,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87139-YZZ33:Toyota,טויוטה:C-HR:2016:2026
87139-YZZ34,מסנן מזגן — טויוטה C-HR,מסנן מזגן,Toyota,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87139-YZZ34:Toyota,טויוטה:C-HR:2016:2026
53801-F4030,כנף קדמית — טויוטה C-HR,כנף קדמית,Toyota,תאורה ופחחות,,fender,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:53801-F4030:Toyota,טויוטה:C-HR:2016:2026
81210-02110,פנס ערפל קדמי — טויוטה C-HR,פנס ערפל קדמי,Toyota,תאורה ופחחות,,fog_light,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:81210-02110:Toyota,טויוטה:C-HR:2016:2026
B000978080,פנס ערפל קדמי — טויוטה C-HR,פנס ערפל קדמי,Peugeot,תאורה ופחחות,,fog_light,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:B000978080:Peugeot,טויוטה:C-HR:2016:2026
52129F4010,פגוש קדמי — טויוטה C-HR,פגוש קדמי,Toyota,תאורה ופחחות,,front_bumper,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:52129F4010:Toyota,טויוטה:C-HR:2016:2026
81130-F4030,פנס ראשי ימין — טויוטה C-HR,פנס ראשי ימין,Toyota,תאורה ופחחות,,headlight_right,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:81130-F4030:Toyota,טויוטה:C-HR:2016:2026
81130F4031,פנס ראשי ימין — טויוטה C-HR,פנס ראשי ימין,Toyota,תאורה ופחחות,,headlight_right,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:81130F4031:Toyota,טויוטה:C-HR:2016:2026
1109AE,מסנן שמן — טויוטה C-HR,מסנן שמן,Toyota,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:1109AE:Toyota,טויוטה:C-HR:2016:2026
90080-91045,מסנן שמן — טויוטה C-HR,מסנן שמן,Toyota,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:90080-91045:Toyota,טויוטה:C-HR:2016:2026
90915-YZZJ1,מסנן שמן — טויוטה C-HR,מסנן שמן,Toyota,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:90915-YZZJ1:Toyota,טויוטה:C-HR:2016:2026
9091510009,מסנן שמן — טויוטה C-HR,מסנן שמן,Toyota,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:9091510009:Toyota,טויוטה:C-HR:2016:2026
87910F4010,מראת צד — טויוטה C-HR,מראת צד,Toyota,תאורה ופחחות,,side_mirror,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87910F4010:Toyota,טויוטה:C-HR:2016:2026
87910F4020,מראת צד — טויוטה C-HR,מראת צד,Toyota,תאורה ופחחות,,side_mirror,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87910F4020:Toyota,טויוטה:C-HR:2016:2026
87910F4032,מראת צד — טויוטה C-HR,מראת צד,Toyota,תאורה ופחחות,,side_mirror,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87910F4032:Toyota,טויוטה:C-HR:2016:2026
87940F4010,מראת צד — טויוטה C-HR,מראת צד,Toyota,תאורה ופחחות,,side_mirror,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87940F4010:Toyota,טויוטה:C-HR:2016:2026
87940F4020,מראת צד — טויוטה C-HR,מראת צד,Toyota,תאורה ופחחות,,side_mirror,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87940F4020:Toyota,טויוטה:C-HR:2016:2026
87940F4032,מראת צד — טויוטה C-HR,מראת צד,Toyota,תאורה ופחחות,,side_mirror,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87940F4032:Toyota,טויוטה:C-HR:2016:2026
90919-01,מצת — טויוטה C-HR,מצת,Toyota,הצתה,,spark_plug,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:90919-01:Toyota,טויוטה:C-HR:2016:2026
90919-01289,מצת — טויוטה C-HR,מצת,Toyota,הצתה,,spark_plug,"מק""ט מקורי, רמת רכב (מספר שלדה). מקור: קטלוג ראשי (AUTODOC), PartSouq · קטלוג היצרן. https://partsouq.com/en/catalog/toyota/diagram/NA/2024/RAV4-NAP/AXAA54L-CNZMBA/category/1/diagram/1901/vin/2T3A1RFV2RC485020",1,OEM:90919-01289:Toyota,טויוטה:C-HR:2016:2026; טויוטה:RAV4:2024:2024:A25A-FKS 2.5
9091901289,מצת — טויוטה C-HR,מצת,Toyota,הצתה,,spark_plug,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:9091901289:Toyota,טויוטה:C-HR:2016:2026
P51R-18-110,מצת — טויוטה C-HR,מצת,Mazda,הצתה,,spark_plug,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:P51R-18-110:Mazda,טויוטה:C-HR:2016:2026
PE5S18110,מצת — טויוטה C-HR,מצת,Mazda,הצתה,,spark_plug,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:PE5S18110:Mazda,טויוטה:C-HR:2016:2026
81591-F4010,פנס אחורי — טויוטה C-HR,פנס אחורי,Toyota,תאורה ופחחות,,taillight,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:81591-F4010:Toyota,טויוטה:C-HR:2016:2026
81591-F4011,פנס אחורי — טויוטה C-HR,פנס אחורי,Toyota,תאורה ופחחות,,taillight,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:81591-F4011:Toyota,טויוטה:C-HR:2016:2026
178010T060,מסנן אוויר — טויוטה CAMRY,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:178010T060:Toyota,טויוטה:CAMRY:2018:2026
1780177050,מסנן אוויר — טויוטה CAMRY,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:1780177050:Toyota,טויוטה:CAMRY:2018:2026
17801F0020,מסנן אוויר — טויוטה CAMRY,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:17801F0020:Toyota,טויוטה:CAMRY:2018:2026
28113A9100,מסנן אוויר — טויוטה CAMRY,מסנן אוויר,Kia,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:28113A9100:Kia,טויוטה:CAMRY:2018:2026
PAH9-13-3A0A,מסנן אוויר — טויוטה CAMRY,מסנן אוויר,Mazda,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:PAH9-13-3A0A:Mazda,טויוטה:CAMRY:2018:2026
SU00309025,מסנן אוויר — טויוטה CAMRY,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:SU00309025:Toyota,טויוטה:CAMRY:2018:2026
87139YZZ07,מסנן מזגן — טויוטה COROLLA,מסנן מזגן,Toyota,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87139YZZ07:Toyota,טויוטה:COROLLA
178010D060,מסנן אוויר — טויוטה COROLLA,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:178010D060:Toyota,טויוטה:COROLLA:2013:2019
43512 02330,דיסק בלם קדמי — טויוטה COROLLA,דיסק בלם קדמי,Toyota,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:43512 02330:Toyota,טויוטה:COROLLA:2013:2019
